Glicko Rankings (seasidereturn - hedgehogville2024)
Sakura,1291,81
Prominence,1269,67
Tendrii,1239,81
Sunset,1166,78
Silver,1163,76
Mighton,1161,99
DaveTM,1147,75
Hater,1070,125
[REDACTED],1068,79
Hoshikage,1066,86
KnuX,1057,79
Zooey,1007,132
Niko,1003,130
FALLEN,984,141
Gutzz,983,170
The Crimson,980,129
Hyperspeed,972,117
Nullferst,970,182
Tommy,964,155
Bolo,959,171
Captain Fuzz,933,157
Bolts,931,147
Moss,917,182
Michael,906,186
mike$$,896,116
The Doctor,896,128
Annie,889,189
Belinda,840,176
Poppercorn,839,167
L2000,831,204
Francium,822,214
Perci,813,97
THE Luigiguy,807,169
oilysines,805,99
DozStratz,783,232
Stroke,780,207
Orbot,773,182
Actually,773,205
Pter,762,219
U.M.,753,253
Regaltoad,746,187
ToonLinkMasta,729,137
Earl,727,175
9by,711,162
Tommy Thunder,682,226
Z LB 108U Z,680,257
Polygon,679,224
Sound.IO,672,249
Bill,661,253
Staci,655,140
TWB87,645,204
Jimmy,643,168
Pubtools,622,155
Charlie,619,186
SOAR THE EAGLE,599,181
Josh,588,193
Bridguras,569,259
parmesancheese,567,202
